rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,st_dist,st_teff,st_mass,st_rad,rowupdate
41,BD+15 2375,b,Radial Velocity,1,153.22000000,0.576000,0.001000,1.06100,774.00,4649.00,1.08,8.95,2016-02-04
42,BD+15 2940,b,Radial Velocity,1,137.48000000,0.539000,0.260000,1.11000,175.44,4796.00,1.10,14.70,2014-05-14
43,BD+20 1790,b,Radial Velocity,1,7.78287000,0.066000,0.220000,6.37000,25.40,4410.00,0.63,0.71,2015-03-26
44,BD+20 2457,b,Radial Velocity,2,379.63000000,1.450000,0.150000,21.42000,,4137.00,2.80,49.00,2014-05-14
45,BD+20 2457,c,Radial Velocity,2,621.99000000,2.010000,0.180000,12.47000,,4137.00,2.80,49.00,2014-05-14
46,BD+20 274,b,Radial Velocity,1,578.20000000,1.300000,0.210000,4.20000,,4296.00,0.80,17.30,2015-09-18
47,BD+48 738,b,Radial Velocity,1,392.60000000,1.000000,0.200000,0.91000,,4414.00,0.74,11.00,2015-08-13
48,BD+49 828,b,Radial Velocity,1,2590.00000000,4.200000,0.350000,1.60000,,4943.00,1.52,7.60,2015-02-05
49,BD-06 1339,b,Radial Velocity,2,3.87280000,0.042800,0.000000,0.02700,20.10,4324.00,0.70,,2014-05-14
50,BD-06 1339,c,Radial Velocity,2,125.94000000,0.435000,0.310000,0.17000,20.10,4324.00,0.70,,2014-05-14
51,BD-08 2823,b,Radial Velocity,2,5.60000000,0.056000,0.150000,0.04500,42.09,4746.00,0.74,,2014-05-14
52,BD-08 2823,c,Radial Velocity,2,237.60000000,0.680000,0.190000,0.33000,42.09,4746.00,0.74,,2014-05-14
53,BD-10 3166,b,Radial Velocity,1,3.48777000,0.045200,0.019000,0.45800,80.00,5393.00,1.01,,2014-08-27
54,BD-11 4672,b,Radial Velocity,1,1667.00000000,2.280000,0.050000,0.53000,27.30,4475.00,0.57,0.52,2015-01-08
55,BD-13 2130,b,Radial Velocity,1,714.30000000,2.100000,0.210000,10.60000,766.00,,2.40,,2015-05-14
56,BD-17 63,b,Radial Velocity,1,655.60000000,1.340000,0.540000,5.10000,37.54,4714.00,0.74,0.69,2014-05-14
57,CFBDSIR J145829+101343,b,Imaging,1,10037.50000000,2.600000,,10.50000,23.10,580.50,0.02,,2014-05-14
58,CHXR 73,b,Imaging,1,,210.000000,,12.56900,,,0.35,,2014-05-14
59,CT Cha,b,Imaging,1,,440.000000,,17.00000,165.00,,,,2014-05-14
60,CoRoT-1,b,Transit,1,1.50895570,,0.000000,1.03000,,5950.00,0.95,1.11,2014-05-14
61,CoRoT-10,b,Transit,1,13.24060000,0.105500,0.530000,2.75000,345.00,5075.00,0.89,0.79,2014-05-14
62,CoRoT-11,b,Transit,1,2.99433000,0.043600,0.000000,2.33000,560.00,6440.00,1.27,1.37,2014-05-14
63,CoRoT-12,b,Transit,1,2.82804200,0.040160,0.070000,0.91700,1150.00,5675.00,1.08,1.12,2014-05-14
64,CoRoT-13,b,Transit,1,4.03519000,0.051000,0.000000,1.30800,1060.00,5945.00,1.09,1.01,2014-05-14
65,CoRoT-14,b,Transit,1,1.51214000,0.027000,0.000000,7.60000,1340.00,6035.00,1.13,1.21,2014-05-14
66,CoRoT-16,b,Transit,1,5.35227000,0.061800,0.330000,0.53500,840.00,5650.00,1.10,1.19,2014-05-14
67,CoRoT-17,b,Transit,1,3.76810000,0.046100,0.000000,2.43000,920.00,5740.00,1.04,1.59,2014-05-14
68,CoRoT-18,b,Transit,1,1.90006930,0.029500,0.080000,3.47000,870.00,5440.00,0.95,1.00,2014-05-14
69,CoRoT-19,b,Transit,1,3.89713000,0.051800,0.047000,1.11000,770.00,6090.00,1.21,1.65,2014-05-14
70,CoRoT-2,b,Transit,1,1.74299350,0.027980,0.014300,3.47000,200.00,5625.00,0.96,0.91,2014-05-14
